Link to details,Interactor 1,Interactor 1 title,Interactor 1 source organism,Interactor 1 sequence length,SCOP family 1,Interactor 2,Interactor 2 title,Interactor 2 source organism,Interactor 2 sequence length,SCOP family 2,Interface type,"Buried surface area, Å2",No. of contacts,No. of members in cluster,pdb_id
2 Details,8ib2_5,Dematin actin binding protein,Sus scrofa,405,,8ib2_E,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,hetero,360.13,27,1,8ib2
3 Details,8ib2_B,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_C,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,395.19,33,1,8ib2
4 Details,8ib2_B,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_D,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,1166.87,93,1,8ib2
5 Details,8ib2_C,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_D,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,413.64,34,1,8ib2
6 Details,8ib2_C,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_E,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,1150.11,91,1,8ib2
7 Details,8ib2_D,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_E,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,374.35,30,1,8ib2
8 Details,8ib2_D,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_F,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,1167.19,92,1,8ib2
9 Details,8ib2_E,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,8ib2_F,"Actin, cytoplasmic 1, N-terminally processed",Sus scrofa,375,,homo,385.53,30,1,8ib2
1 Details,8f8s_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,329.55,27,1,8f8s
2 Details,8f8s_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1062.73,94,1,8f8s
3 Details,8f8s_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,342.67,31,1,8f8s
4 Details,8f8s_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1147.45,94,1,8f8s
5 Details,8f8s_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,378.65,32,1,8f8s
6 Details,8f8s_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1166.84,94,1,8f8s
7 Details,8f8s_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,393.55,34,1,8f8s
8 Details,8f8s_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1160.06,94,1,8f8s
9 Details,8f8s_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,413.65,34,1,8f8s
10 Details,8f8s_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_G,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1163.73,92,1,8f8s
11 Details,8f8s_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8s_G,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,413.85,35,1,8f8s
1 Details,3tpq_M,MAL,Mus musculus,117,,3tpq_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,577.95,55,1,3tpq
2 Details,3tpq_M,MAL,Mus musculus,117,,3tpq_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,1007.59,86,1,3tpq
3 Details,3tpq_M,MAL,Mus musculus,117,,3tpq_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,658.95,57,1,3tpq
4 Details,3tpq_M,MAL,Mus musculus,117,,3tpq_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,1139.16,88,1,3tpq
5 Details,3tpq_M,MAL,Mus musculus,117,,3tpq_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,hetero,1481.05,123,1,3tpq
6 Details,3tpq_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,3tpq_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,403.74,37,1,3tpq
7 Details,3tpq_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,3tpq_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,116.56,10,1,3tpq
8 Details,3tpq_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,3tpq_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,203.24,19,1,3tpq
1 Details,8ord_A,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_B,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,1072.52,94,1,8ord
2 Details,8ord_A,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_C,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,454.05,35,1,8ord
3 Details,8ord_A,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_D,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,446.9,39,1,8ord
4 Details,8ord_A,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_E,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,1080.93,96,1,8ord
5 Details,8ord_B,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_C,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,483.69,41,1,8ord
6 Details,8ord_C,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_D,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,1054.26,95,1,8ord
7 Details,8ord_D,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,8ord_E,"Actin, alpha 1b, skeletal muscle",Danio rerio,377,,homo,469.26,44,1,8ord
1 Details,7ztc_A,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_B,"actin, cytoplasmic 1",Homo sapiens,375,,homo,389.06,33,1,7ztc
2 Details,7ztc_A,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_C,"actin, cytoplasmic 1",Homo sapiens,375,,homo,927.24,81,1,7ztc
3 Details,7ztc_B,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_C,"actin, cytoplasmic 1",Homo sapiens,375,,homo,385.21,31,1,7ztc
4 Details,7ztc_B,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_D,"actin, cytoplasmic 1",Homo sapiens,375,,homo,930.38,80,1,7ztc
5 Details,7ztc_C,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_D,"actin, cytoplasmic 1",Homo sapiens,375,,homo,362.59,30,1,7ztc
6 Details,7ztc_C,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_E,"actin, cytoplasmic 1",Homo sapiens,375,,homo,918.54,76,1,7ztc
7 Details,7ztc_D,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_E,"actin, cytoplasmic 1",Homo sapiens,375,,homo,372.1,32,1,7ztc
8 Details,7ztc_D,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_F,"actin, cytoplasmic 1",Homo sapiens,375,,homo,934.35,81,1,7ztc
9 Details,7ztc_E,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_F,"actin, cytoplasmic 1",Homo sapiens,375,,homo,391.25,31,1,7ztc
10 Details,7ztc_E,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_G,"actin, cytoplasmic 1",Homo sapiens,375,,homo,949.98,79,1,7ztc
11 Details,7ztc_F,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_G,"actin, cytoplasmic 1",Homo sapiens,375,,homo,386.37,32,1,7ztc
12 Details,7ztc_F,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_H,"actin, cytoplasmic 1",Homo sapiens,375,,homo,932.45,80,1,7ztc
13 Details,7ztc_G,"actin, cytoplasmic 1",Homo sapiens,375,,7ztc_H,"actin, cytoplasmic 1",Homo sapiens,375,,homo,386.37,33,1,7ztc
1 Details,8f8r_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,421.45,34,1,8f8r
2 Details,8f8r_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1177.43,98,1,8f8r
3 Details,8f8r_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,422.13,34,1,8f8r
4 Details,8f8r_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1194.06,99,1,8f8r
5 Details,8f8r_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,423.13,37,1,8f8r
6 Details,8f8r_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1215.24,101,1,8f8r
7 Details,8f8r_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,426.09,34,1,8f8r
8 Details,8f8r_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1179.26,98,1,8f8r
9 Details,8f8r_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,429.17,37,1,8f8r
10 Details,8f8r_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_G,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1198.93,97,1,8f8r
11 Details,8f8r_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8r_G,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,425.14,41,1,8f8r
1 Details,7pdz_E,Isoform 2 of F-actin-capping protein subunit beta,Mus musculus,272,,7pdz_F,F-actin-capping protein subunit alpha-1,Mus musculus,286,,hetero,3534.35,286,1,7pdz
2 Details,7pdz_E,Isoform 2 of F-actin-capping protein subunit beta,Mus musculus,272,,7pdz_I,"Actin, cytoplasmic 1",Bos taurus,375,,hetero,973.56,74,1,7pdz
3 Details,7pdz_E,Isoform 2 of F-actin-capping protein subunit beta,Mus musculus,272,,7pdz_J,"Actin, cytoplasmic 1",Bos taurus,375,,hetero,130.9,10,1,7pdz
4 Details,7pdz_F,F-actin-capping protein subunit alpha-1,Mus musculus,286,,7pdz_I,"Actin, cytoplasmic 1",Bos taurus,375,,hetero,353.83,28,1,7pdz
5 Details,7pdz_F,F-actin-capping protein subunit alpha-1,Mus musculus,286,,7pdz_J,"Actin, cytoplasmic 1",Bos taurus,375,,hetero,785.12,66,1,7pdz
6 Details,7pdz_I,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_J,"Actin, cytoplasmic 1",Bos taurus,375,,homo,410.27,36,1,7pdz
7 Details,7pdz_I,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_K,"Actin, cytoplasmic 1",Bos taurus,375,,homo,1186.47,104,1,7pdz
9 Details,7pdz_J,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_K,"Actin, cytoplasmic 1",Bos taurus,375,,homo,407.45,39,1,7pdz
10 Details,7pdz_J,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_L,"Actin, cytoplasmic 1",Bos taurus,375,,homo,1206.67,107,1,7pdz
13 Details,7pdz_K,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_L,"Actin, cytoplasmic 1",Bos taurus,375,,homo,418.17,40,1,7pdz
14 Details,7pdz_K,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_N,"Actin, cytoplasmic 1",Bos taurus,375,,homo,1196.75,100,1,7pdz
17 Details,7pdz_L,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_N,"Actin, cytoplasmic 1",Bos taurus,375,,homo,390.78,36,1,7pdz
18 Details,7pdz_L,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_O,"Actin, cytoplasmic 1",Bos taurus,375,,homo,1164.72,98,1,7pdz
21 Details,7pdz_N,"Actin, cytoplasmic 1",Bos taurus,375,,7pdz_O,"Actin, cytoplasmic 1",Bos taurus,375,,homo,428.47,38,1,7pdz
1 Details,9az6_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,412.52,36,1,9az6
2 Details,9az6_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1183.48,97,1,9az6
3 Details,9az6_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_H,Talin-1,Mus musculus,246,,hetero,459.15,40,1,9az6
4 Details,9az6_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_I,Talin-1,Mus musculus,246,,hetero,233.84,23,1,9az6
5 Details,9az6_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,417.09,34,1,9az6
6 Details,9az6_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1198.35,99,1,9az6
7 Details,9az6_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_F,Talin-1,Mus musculus,246,,hetero,1586.56,134,1,9az6
8 Details,9az6_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_J,Talin-1,Mus musculus,246,,hetero,464.48,37,1,9az6
9 Details,9az6_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_K,Talin-1,Mus musculus,246,,hetero,196.85,22,1,9az6
10 Details,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,415.91,34,1,9az6
11 Details,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1174.43,101,1,9az6
12 Details,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_H,Talin-1,Mus musculus,246,,hetero,1721.53,132,1,9az6
13 Details,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_L,Talin-1,Mus musculus,246,,hetero,455.87,41,1,9az6
14 Details,9az6_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_M,Talin-1,Mus musculus,246,,hetero,219.53,22,1,9az6
15 Details,9az6_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,411.21,35,1,9az6
16 Details,9az6_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_J,Talin-1,Mus musculus,246,,hetero,1647.7,137,1,9az6
17 Details,9az6_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,9az6_L,Talin-1,Mus musculus,246,,hetero,1687.62,134,1,9az6
18 Details,9az6_F,Talin-1,Mus musculus,246,,9az6_G,Talin-1,Mus musculus,246,,homo,1593.53,122,1,9az6
19 Details,9az6_H,Talin-1,Mus musculus,246,,9az6_I,Talin-1,Mus musculus,246,,homo,1594.74,117,1,9az6
20 Details,9az6_J,Talin-1,Mus musculus,246,,9az6_K,Talin-1,Mus musculus,246,,homo,1517.82,117,1,9az6
21 Details,9az6_L,Talin-1,Mus musculus,246,,9az6_M,Talin-1,Mus musculus,246,,homo,1547.27,111,1,9az6
1 Details,8f8q_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,405.7,32,1,8f8q
2 Details,8f8q_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1171.68,94,1,8f8q
3 Details,8f8q_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,393.66,33,1,8f8q
4 Details,8f8q_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1172.46,97,1,8f8q
5 Details,8f8q_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,414.1,34,1,8f8q
6 Details,8f8q_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1178.64,97,1,8f8q
7 Details,8f8q_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,418.58,35,1,8f8q
8 Details,8f8q_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1175.7,99,1,8f8q
9 Details,8f8q_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,418.04,32,1,8f8q
10 Details,8f8q_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_G,F-actin-capping protein subunit alpha-1,Homo sapiens,286,,hetero,983.3,71,1,8f8q
11 Details,8f8q_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_H,F-actin-capping protein subunit beta,Homo sapiens,276,,hetero,151.7,9,1,8f8q
12 Details,8f8q_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_G,F-actin-capping protein subunit alpha-1,Homo sapiens,286,,hetero,345.56,28,1,8f8q
13 Details,8f8q_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8q_H,F-actin-capping protein subunit beta,Homo sapiens,276,,hetero,1012.63,75,1,8f8q
14 Details,8f8q_G,F-actin-capping protein subunit alpha-1,Homo sapiens,286,,8f8q_H,F-actin-capping protein subunit beta,Homo sapiens,276,,hetero,3797.78,309,1,8f8q
1 Details,9go5_A,Actin,Saccharomyces cerevisiae,375,,9go5_B,Actin,Saccharomyces cerevisiae,375,,homo,403.27,36,1,9go5
2 Details,9go5_A,Actin,Saccharomyces cerevisiae,375,,9go5_C,Actin,Saccharomyces cerevisiae,375,,homo,403.01,36,1,9go5
3 Details,9go5_A,Actin,Saccharomyces cerevisiae,375,,9go5_D,Actin,Saccharomyces cerevisiae,375,,homo,1151.83,94,1,9go5
4 Details,9go5_A,Actin,Saccharomyces cerevisiae,375,,9go5_E,Actin,Saccharomyces cerevisiae,375,,homo,1137.66,92,1,9go5
5 Details,9go5_B,Actin,Saccharomyces cerevisiae,375,,9go5_C,Actin,Saccharomyces cerevisiae,375,,homo,1154.99,95,1,9go5
6 Details,9go5_B,Actin,Saccharomyces cerevisiae,375,,9go5_E,Actin,Saccharomyces cerevisiae,375,,homo,396.7,34,1,9go5
7 Details,9go5_C,Actin,Saccharomyces cerevisiae,375,,9go5_D,Actin,Saccharomyces cerevisiae,375,,homo,403.22,36,1,9go5
1 Details,9dva_A,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,1141.53,90,1,9dva
2 Details,9dva_A,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_D,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,404.55,35,1,9dva
3 Details,9dva_A,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_H,Catenin alpha-1,Mus musculus,906,,hetero,1387.21,100,1,9dva
4 Details,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_C,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,1146.78,86,1,9dva
5 Details,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_D,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,415.71,36,1,9dva
6 Details,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_E,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,402.35,32,1,9dva
7 Details,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_F,Catenin alpha-1,Mus musculus,906,,hetero,1398.24,103,1,9dva
8 Details,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_G,Afadin,Mus musculus,219,,hetero,219.24,19,1,9dva
9 Details,9dva_B,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_H,Catenin alpha-1,Mus musculus,906,,hetero,818.98,74,1,9dva
10 Details,9dva_C,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_E,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,387.2,33,1,9dva
11 Details,9dva_C,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_F,Catenin alpha-1,Mus musculus,906,,hetero,786.59,69,1,9dva
12 Details,9dva_D,"Actin, alpha skeletal muscle",Gallus gallus,375,,9dva_E,"Actin, alpha skeletal muscle",Gallus gallus,375,,homo,1144.14,88,1,9dva
13 Details,9dva_F,Catenin alpha-1,Mus musculus,906,,9dva_G,Afadin,Mus musculus,219,,hetero,1019.73,71,1,9dva
14 Details,9dva_F,Catenin alpha-1,Mus musculus,906,,9dva_H,Catenin alpha-1,Mus musculus,906,,homo,280.42,20,1,9dva
15 Details,9dva_G,Afadin,Mus musculus,219,,9dva_H,Catenin alpha-1,Mus musculus,906,,hetero,433.63,31,1,9dva
1 Details,8f8p_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,450.86,38,1,8f8p
2 Details,8f8p_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1199.67,97,1,8f8p
3 Details,8f8p_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,449.36,38,1,8f8p
4 Details,8f8p_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1198.36,97,1,8f8p
5 Details,8f8p_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,449.33,38,1,8f8p
6 Details,8f8p_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1199.72,96,1,8f8p
7 Details,8f8p_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,8f8p_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,423.14,37,1,8f8p
1 Details,9duu_A,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_B,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,446.16,34,1,9duu
2 Details,9duu_A,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_C,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,1175.98,104,1,9duu
5 Details,9duu_B,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_C,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,462.59,37,1,9duu
6 Details,9duu_B,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_D,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,1260.11,106,1,9duu
9 Details,9duu_C,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_D,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,453.0,37,1,9duu
10 Details,9duu_C,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_E,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,1232.72,109,1,9duu
13 Details,9duu_D,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_E,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,447.79,35,1,9duu
14 Details,9duu_D,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_F,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,1202.96,101,1,9duu
17 Details,9duu_E,"Actin, alpha skeletal muscle",Homo sapiens,375,,9duu_F,"Actin, alpha skeletal muscle",Homo sapiens,375,,homo,447.06,38,1,9duu
1 Details,7uxf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,408.16,33,1,7uxf
2 Details,7uxf_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1139.14,91,1,7uxf
3 Details,7uxf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,407.75,33,1,7uxf
4 Details,7uxf_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1134.79,90,1,7uxf
5 Details,7uxf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,409.91,34,1,7uxf
6 Details,7uxf_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1138.68,91,1,7uxf
7 Details,7uxf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,406.8,34,1,7uxf
8 Details,7uxf_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,7uxf_F,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,377,,homo,1139.52,90,1,7uxf
